cloud_cover,month,year,day_of_year,revisit_gap_hours
93.275706,12,2015,351,0.0
61.553484,12,2015,351,0.0
0.286533,1,2016,3,407.8277772222222
99.857255,1,2016,16,312.1583336111111
99.996892,1,2016,16,0.0
41.514633,2,2016,33,407.81111111111113
0.134816,2,2016,46,312.14722222222224
0.320401,2,2016,46,0.0
0.199271,3,2016,63,407.81388888888887
46.807207,3,2016,76,312.1638888888889
21.077266,3,2016,76,0.0
0.106094,4,2016,93,407.8361111111111
28.062982,4,2016,106,312.1666666666667
75.516397,4,2016,106,0.0
0.284286,5,2016,126,479.9999991666666
0.701888,5,2016,126,0.0
0.196422,5,2016,133,167.8361111111111
26.683793,5,2016,146,312.1638888888889
10.026188,5,2016,146,0.0
87.816976,6,2016,153,167.8361111111111
6.853414,6,2016,166,312.1638888888889
78.221202,6,2016,166,0.0
21.330088,6,2016,173,167.8361111111111
13.001305,7,2016,193,479.99999972222224
0.300507,7,2016,206,312.1638888888889
0.690656,7,2016,206,0.0
22.466001,8,2016,226,480.0
12.039867,8,2016,226,0.0
7.832451,9,2016,246,480.0
43.089538,9,2016,246,0.0
2.296107,9,2016,266,479.9972222222222
19.268268,9,2016,266,0.0
61.360197,10,2016,286,480.0027777777778
86.585015,10,2016,286,0.0
6.179127,11,2016,306,480.02777777777777
37.513611,11,2016,306,0.0
20.245931,11,2016,316,240.1472222222222
5.492446,11,2016,316,0.0
5.532052,12,2016,336,479.8888888888889
5.713389,12,2016,336,0.0
99.834434,12,2016,346,240.00555555555556
96.387783,12,2016,346,0.0
59.344439,12,2016,356,240.00277777777777
82.572331,12,2016,356,0.0
77.40351,1,2017,10,479.9913888888889
69.085071,1,2017,30,479.9805555555555
97.162414,2,2017,50,479.9638888888889
99.824739,2,2017,50,0.0
0.889243,3,2017,60,239.98888888888888
0.354813,3,2017,60,0.0
38.750369,3,2017,80,480.0
16.666454,3,2017,80,0.0
35.362606,4,2017,100,480.0027777777778
34.014165,4,2017,100,0.0
78.86223,4,2017,120,480.0
74.047372,4,2017,120,0.0
2.173337,5,2017,140,480.0
33.876407,5,2017,140,0.0
14.355092,6,2017,160,480.0
9.926868,6,2017,160,0.0
13.232124,6,2017,180,480.0
5.290437,6,2017,180,0.0
17.32621,7,2017,195,359.93000027777776
56.606573,7,2017,195,0.0
4.145292,7,2017,200,120.00055527777778
4.905937,7,2017,200,0.0
7.26986,8,2017,215,359.9994447222222
30.770055,8,2017,220,120.00055527777778
29.864422,8,2017,220,0.0
24.924147,8,2017,235,359.9994447222222
38.071964,8,2017,235,0.0
99.788869,9,2017,255,480.01666666666665
100.0,9,2017,255,0.0
92.538495,9,2017,260,119.9977775
89.208214,9,2017,260,0.0
7.740114,10,2017,275,360.0272225
25.499314,10,2017,275,0.0
0.36628,10,2017,280,120.01444416666666
0.254639,10,2017,280,0.0
0.31469,10,2017,295,360.0244447222222
0.13944,10,2017,295,0.0
85.34812,10,2017,300,120.0116663888889
17.718916,10,2017,300,0.0
63.161718,11,2017,320,480.02777777777777
25.76743,11,2017,320,0.0
82.206296,11,2017,325,120.0022225
98.711066,11,2017,325,0.0
69.510872,12,2017,335,240.01111111111112
98.342329,12,2017,335,0.0
0.22706,12,2017,340,120.00333305555556
5.567645,12,2017,340,0.0
0.284254,12,2017,345,120.0022225
0.492822,12,2017,345,0.0
12.441809,12,2017,355,240.00277777777777
13.206259,12,2017,355,0.0
84.964046,12,2017,360,120.00055527777778
64.494962,12,2017,360,0.0
77.633686,12,2017,365,119.99666694444444
27.167026,12,2017,365,0.0
99.883163,1,2018,10,239.99722222222223
81.67153,1,2018,10,0.0
97.673229,1,2018,15,119.99499972222225
99.853946,1,2018,15,0.0
0.14853,1,2018,20,119.99388916666666
1.72901,1,2018,20,0.0
73.815978,1,2018,30,239.98888888888888
81.017972,1,2018,30,0.0
67.420407,2,2018,35,119.99222194444444
91.17092,2,2018,35,0.0
11.230487,2,2018,40,119.99111138888888
45.313284,2,2018,40,0.0
99.154163,2,2018,45,119.99222194444444
99.999974,2,2018,45,0.0
99.602598,2,2018,50,119.9883336111111
99.348947,2,2018,50,0.0
97.441596,2,2018,55,119.99222194444444
76.346127,2,2018,55,0.0
1.759633,3,2018,60,119.99666694444444
4.489289,3,2018,60,0.0
0.841358,3,2018,65,119.98388888888888
0.47597,3,2018,65,0.0
0.455991,3,2018,75,239.97777749999997
0.057358,3,2018,75,0.0
68.981754,3,2018,80,119.99111138888888
4.859407,3,2018,80,0.0
93.573101,3,2018,85,120.00055527777778
58.082484,3,2018,90,119.98277805555556
56.156623,3,2018,90,0.0
60.836083,4,2018,95,119.9977775
99.487532,4,2018,95,0.0
12.054243,4,2018,100,119.99944472222222
0.092759,4,2018,100,0.0
0.827263,4,2018,105,120.00055527777778
0.738838,4,2018,105,0.0
41.196504,4,2018,110,119.99944472222222
82.831577,4,2018,110,0.0
98.345496,4,2018,115,120.02277694444444
96.382308,4,2018,115,0.0
10.016088,4,2018,120,119.97722305555556
0.954199,4,2018,120,0.0
0.314621,5,2018,125,120.00055472222222
0.577496,5,2018,125,0.0
59.881446,5,2018,130,119.99944527777778
84.506042,5,2018,130,0.0
99.999995,5,2018,135,120.00055472222222
71.209615,5,2018,135,0.0
96.364865,5,2018,140,119.99944527777778
95.356444,5,2018,140,0.0
98.555769,5,2018,145,120.00055472222222
92.990675,5,2018,145,0.0
1.314529,5,2018,150,119.99944444444444
0.747343,5,2018,150,0.0
95.204165,6,2018,155,120.00055555555556
79.951826,6,2018,155,0.0
27.366929,6,2018,160,119.99944444444444
33.136255,6,2018,160,0.0
25.638266,6,2018,165,120.00055555555556
10.180498,6,2018,165,0.0
95.399793,6,2018,170,119.99944444444444
91.680679,6,2018,170,0.0
95.275252,6,2018,175,120.00055555555556
97.984791,6,2018,175,0.0
1.133974,6,2018,180,119.99944444444444
1.185209,6,2018,180,0.0
10.863769,7,2018,185,120.02277777777778
30.443986,7,2018,185,0.0
17.237702,7,2018,190,120.03
26.676288,7,2018,190,0.0
44.834583,7,2018,195,119.94777777777776
5.984527,7,2018,195,0.0
0.484708,7,2018,200,119.99944444444444
0.93871,7,2018,200,0.0
42.301558,7,2018,205,120.00055555555556
55.076028,7,2018,205,0.0
0.202814,7,2018,210,119.99944444444444
1.476919,7,2018,210,0.0
0.275622,8,2018,215,120.00055555555556
0.561863,8,2018,215,0.0
81.391925,8,2018,220,119.99944444444444
99.985158,8,2018,220,0.0
99.976026,8,2018,225,120.00055555555556
98.821991,8,2018,225,0.0
3.544162,8,2018,230,119.99666666666668
12.635393,8,2018,230,0.0
7.703591,8,2018,235,120.00333333333332
38.365588,8,2018,235,0.0
25.136437,8,2018,240,120.03
2.109206,8,2018,240,0.0
14.154443,9,2018,245,119.97
35.773113,9,2018,245,0.0
96.923602,9,2018,250,120.02166666666666
98.311676,9,2018,250,0.0
85.938999,9,2018,255,119.98388888888888
