month,year,day_of_year,revisit_gap_hours
12,2015,351,0.0
12,2015,351,0.0
1,2016,3,407.8277772222222
1,2016,16,312.1583336111111
1,2016,16,0.0
2,2016,33,407.81111111111113
2,2016,46,312.14722222222224
2,2016,46,0.0
3,2016,63,407.81388888888887
3,2016,76,312.1638888888889
3,2016,76,0.0
4,2016,93,407.8361111111111
4,2016,106,312.1666666666667
4,2016,106,0.0
5,2016,126,479.9999991666666
5,2016,126,0.0
5,2016,133,167.8361111111111
5,2016,146,312.1638888888889
5,2016,146,0.0
6,2016,153,167.8361111111111
6,2016,166,312.1638888888889
6,2016,166,0.0
6,2016,173,167.8361111111111
7,2016,193,479.99999972222224
7,2016,206,312.1638888888889
7,2016,206,0.0
8,2016,226,480.0
8,2016,226,0.0
9,2016,246,480.0
9,2016,246,0.0
9,2016,266,479.9972222222222
9,2016,266,0.0
10,2016,286,480.0027777777778
10,2016,286,0.0
11,2016,306,480.02777777777777
11,2016,306,0.0
11,2016,316,240.1472222222222
11,2016,316,0.0
12,2016,336,479.8888888888889
12,2016,336,0.0
12,2016,346,240.00555555555556
12,2016,346,0.0
12,2016,356,240.00277777777777
12,2016,356,0.0
1,2017,10,479.9913888888889
1,2017,30,479.9805555555555
2,2017,50,479.9638888888889
2,2017,50,0.0
3,2017,60,239.98888888888888
3,2017,60,0.0
3,2017,80,480.0
3,2017,80,0.0
4,2017,100,480.0027777777778
4,2017,100,0.0
4,2017,120,480.0
4,2017,120,0.0
5,2017,140,480.0
5,2017,140,0.0
6,2017,160,480.0
6,2017,160,0.0
6,2017,180,480.0
6,2017,180,0.0
7,2017,195,359.93000027777776
7,2017,195,0.0
7,2017,200,120.00055527777778
7,2017,200,0.0
8,2017,215,359.9994447222222
8,2017,220,120.00055527777778
8,2017,220,0.0
8,2017,235,359.9994447222222
8,2017,235,0.0
9,2017,255,480.01666666666665
9,2017,255,0.0
9,2017,260,119.9977775
9,2017,260,0.0
10,2017,275,360.0272225
10,2017,275,0.0
10,2017,280,120.01444416666666
10,2017,280,0.0
10,2017,295,360.0244447222222
10,2017,295,0.0
10,2017,300,120.0116663888889
10,2017,300,0.0
11,2017,320,480.02777777777777
11,2017,320,0.0
11,2017,325,120.0022225
11,2017,325,0.0
12,2017,335,240.01111111111112
12,2017,335,0.0
12,2017,340,120.00333305555556
12,2017,340,0.0
12,2017,345,120.0022225
12,2017,345,0.0
12,2017,355,240.00277777777777
12,2017,355,0.0
12,2017,360,120.00055527777778
12,2017,360,0.0
12,2017,365,119.99666694444444
12,2017,365,0.0
1,2018,10,239.99722222222223
1,2018,10,0.0
1,2018,15,119.99499972222225
1,2018,15,0.0
1,2018,20,119.99388916666666
1,2018,20,0.0
1,2018,30,239.98888888888888
1,2018,30,0.0
2,2018,35,119.99222194444444
2,2018,35,0.0
2,2018,40,119.99111138888888
2,2018,40,0.0
2,2018,45,119.99222194444444
2,2018,45,0.0
2,2018,50,119.9883336111111
