id,datetime,cloud_cover,bbox,visual_href,thumbnail_href,rendered_preview,date,month,year,day_of_year,revisit_gap_hours,image_validity
S2A_MSIL2A_20151217T171732_R112_T14SPE_20210526T061735,2015-12-17 17:17:32.031000+00:00,93.275706,"[-97.90214616, 35.13300633, -96.66878536, 36.13974073]",<Asset href=https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/14/S/PE/2015/12/17/S2A_MSIL2A_20151217T171732_N0300_R112_T14SPE_20210526T061735.SAFE/GRANULE/L2A_T14SPE_A002540_20151217T171726/IMG_DATA/R10m/T14SPE_20151217T171732_TCI_10m.tif?st=2026-01-22T00%3A07%3A58Z&se=2026-01-23T00%3A52%3A58Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-01-22T20%3A34%3A24Z&ske=2026-01-29T20%3A34%3A24Z&sks=b&skv=2025-07-05&sig=3WWdQL0u0De4AbwyirNrW/lEEJEwc7IGdFJNCi3RP18%3D>,,<Asset href=https://planetarycomputer.microsoft.com/api/data/v1/item/preview.png?collection=sentinel-2-l2a&item=S2A_MSIL2A_20151217T171732_R112_T14SPE_20210526T061735&assets=visual&asset_bidx=visual%7C1%2C2%2C3&nodata=0&format=png>,2015-12-17,12,2015,351,0.0,0
S2A_MSIL2A_20151217T171732_R112_T14SQE_20210526T061749,2015-12-17 17:17:32.031000+00:00,61.553484,"[-96.80526872, 35.10721816, -95.55958126, 36.12428426]",<Asset href=https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/14/S/QE/2015/12/17/S2A_MSIL2A_20151217T171732_N0300_R112_T14SQE_20210526T061749.SAFE/GRANULE/L2A_T14SQE_A002540_20151217T171726/IMG_DATA/R10m/T14SQE_20151217T171732_TCI_10m.tif?st=2026-01-22T00%3A07%3A58Z&se=2026-01-23T00%3A52%3A58Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-01-22T20%3A34%3A24Z&ske=2026-01-29T20%3A34%3A24Z&sks=b&skv=2025-07-05&sig=3WWdQL0u0De4AbwyirNrW/lEEJEwc7IGdFJNCi3RP18%3D>,,<Asset href=https://planetarycomputer.microsoft.com/api/data/v1/item/preview.png?collection=sentinel-2-l2a&item=S2A_MSIL2A_20151217T171732_R112_T14SQE_20210526T061749&assets=visual&asset_bidx=visual%7C1%2C2%2C3&nodata=0&format=png>,2015-12-17,12,2015,351,0.0,0
S2A_MSIL2A_20160103T170712_R069_T14SQE_20210527T072650,2016-01-03 17:07:12.029000+00:00,0.286533,"[-96.80526872, 35.10721816, -95.55958126, 36.12428426]",<Asset href=https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/14/S/QE/2016/01/03/S2A_MSIL2A_20160103T170712_N0300_R069_T14SQE_20210527T072650.SAFE/GRANULE/L2A_T14SQE_A002783_20160103T170713/IMG_DATA/R10m/T14SQE_20160103T170712_TCI_10m.tif?st=2026-01-22T00%3A07%3A58Z&se=2026-01-23T00%3A52%3A58Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-01-22T20%3A34%3A24Z&ske=2026-01-29T20%3A34%3A24Z&sks=b&skv=2025-07-05&sig=3WWdQL0u0De4AbwyirNrW/lEEJEwc7IGdFJNCi3RP18%3D>,,<Asset href=https://planetarycomputer.microsoft.com/api/data/v1/item/preview.png?collection=sentinel-2-l2a&item=S2A_MSIL2A_20160103T170712_R069_T14SQE_20210527T072650&assets=visual&asset_bidx=visual%7C1%2C2%2C3&nodata=0&format=png>,2016-01-03,1,2016,3,407.8277772222222,1
S2A_MSIL2A_20160116T171642_R112_T14SPE_20210527T183722,2016-01-16 17:16:42.030000+00:00,99.857255,"[-97.90214616, 35.13300633, -96.66878536, 36.13974073]",<Asset href=https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/14/S/PE/2016/01/16/S2A_MSIL2A_20160116T171642_N0300_R112_T14SPE_20210527T183722.SAFE/GRANULE/L2A_T14SPE_A002969_20160116T171641/IMG_DATA/R10m/T14SPE_20160116T171642_TCI_10m.tif?st=2026-01-22T00%3A07%3A58Z&se=2026-01-23T00%3A52%3A58Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-01-22T20%3A34%3A24Z&ske=2026-01-29T20%3A34%3A24Z&sks=b&skv=2025-07-05&sig=3WWdQL0u0De4AbwyirNrW/lEEJEwc7IGdFJNCi3RP18%3D>,,<Asset href=https://planetarycomputer.microsoft.com/api/data/v1/item/preview.png?collection=sentinel-2-l2a&item=S2A_MSIL2A_20160116T171642_R112_T14SPE_20210527T183722&assets=visual&asset_bidx=visual%7C1%2C2%2C3&nodata=0&format=png>,2016-01-16,1,2016,16,312.1583336111111,0
S2A_MSIL2A_20160116T171642_R112_T14SQE_20210527T183733,2016-01-16 17:16:42.030000+00:00,99.996892,"[-96.80526872, 35.10721816, -95.55958126, 36.12428426]",<Asset href=https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/14/S/QE/2016/01/16/S2A_MSIL2A_20160116T171642_N0300_R112_T14SQE_20210527T183733.SAFE/GRANULE/L2A_T14SQE_A002969_20160116T171641/IMG_DATA/R10m/T14SQE_20160116T171642_TCI_10m.tif?st=2026-01-22T00%3A07%3A58Z&se=2026-01-23T00%3A52%3A58Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-01-22T20%3A34%3A24Z&ske=2026-01-29T20%3A34%3A24Z&sks=b&skv=2025-07-05&sig=3WWdQL0u0De4AbwyirNrW/lEEJEwc7IGdFJNCi3RP18%3D>,,<Asset href=https://planetarycomputer.microsoft.com/api/data/v1/item/preview.png?collection=sentinel-2-l2a&item=S2A_MSIL2A_20160116T171642_R112_T14SQE_20210527T183733&assets=visual&asset_bidx=visual%7C1%2C2%2C3&nodata=0&format=png>,2016-01-16,1,2016,16,0.0,0
S2A_MSIL2A_20160202T170522_R069_T14SQE_20210528T014231,2016-02-02 17:05:22.030000+00:00,41.514633,"[-96.80526872, 35.10721816, -95.55958126, 36.12428426]",<Asset href=https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/14/S/QE/2016/02/02/S2A_MSIL2A_20160202T170522_N0300_R069_T14SQE_20210528T014231.SAFE/GRANULE/L2A_T14SQE_A003212_20160202T170522/IMG_DATA/R10m/T14SQE_20160202T170522_TCI_10m.tif?st=2026-01-22T00%3A07%3A58Z&se=2026-01-23T00%3A52%3A58Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-01-22T20%3A34%3A24Z&ske=2026-01-29T20%3A34%3A24Z&sks=b&skv=2025-07-05&sig=3WWdQL0u0De4AbwyirNrW/lEEJEwc7IGdFJNCi3RP18%3D>,,<Asset href=https://planetarycomputer.microsoft.com/api/data/v1/item/preview.png?collection=sentinel-2-l2a&item=S2A_MSIL2A_20160202T170522_R069_T14SQE_20210528T014231&assets=visual&asset_bidx=visual%7C1%2C2%2C3&nodata=0&format=png>,2016-02-02,2,2016,33,407.81111111111113,0
S2A_MSIL2A_20160215T171412_R112_T14SQE_20210528T070016,2016-02-15 17:14:12.030000+00:00,0.134816,"[-96.80526872, 35.10721816, -95.55958126, 36.12428426]",<Asset href=https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/14/S/QE/2016/02/15/S2A_MSIL2A_20160215T171412_N0300_R112_T14SQE_20210528T070016.SAFE/GRANULE/L2A_T14SQE_A003398_20160215T172207/IMG_DATA/R10m/T14SQE_20160215T171412_TCI_10m.tif?st=2026-01-22T00%3A07%3A58Z&se=2026-01-23T00%3A52%3A58Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-01-22T20%3A34%3A24Z&ske=2026-01-29T20%3A34%3A24Z&sks=b&skv=2025-07-05&sig=3WWdQL0u0De4AbwyirNrW/lEEJEwc7IGdFJNCi3RP18%3D>,,<Asset href=https://planetarycomputer.microsoft.com/api/data/v1/item/preview.png?collection=sentinel-2-l2a&item=S2A_MSIL2A_20160215T171412_R112_T14SQE_20210528T070016&assets=visual&asset_bidx=visual%7C1%2C2%2C3&nodata=0&format=png>,2016-02-15,2,2016,46,312.14722222222224,1
S2A_MSIL2A_20160215T171412_R112_T14SPE_20210528T070005,2016-02-15 17:14:12.030000+00:00,0.320401,"[-97.90214616, 35.13300633, -96.66878536, 36.13974073]",<Asset href=https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/14/S/PE/2016/02/15/S2A_MSIL2A_20160215T171412_N0300_R112_T14SPE_20210528T070005.SAFE/GRANULE/L2A_T14SPE_A003398_20160215T172207/IMG_DATA/R10m/T14SPE_20160215T171412_TCI_10m.tif?st=2026-01-22T00%3A07%3A58Z&se=2026-01-23T00%3A52%3A58Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-01-22T20%3A34%3A24Z&ske=2026-01-29T20%3A34%3A24Z&sks=b&skv=2025-07-05&sig=3WWdQL0u0De4AbwyirNrW/lEEJEwc7IGdFJNCi3RP18%3D>,,<Asset href=https://planetarycomputer.microsoft.com/api/data/v1/item/preview.png?collection=sentinel-2-l2a&item=S2A_MSIL2A_20160215T171412_R112_T14SPE_20210528T070005&assets=visual&asset_bidx=visual%7C1%2C2%2C3&nodata=0&format=png>,2016-02-15,2,2016,46,0.0,1
S2A_MSIL2A_20160303T170302_R069_T14SQE_20210528T095636,2016-03-03 17:03:02.030000+00:00,0.199271,"[-96.80526871562567, 35.10721816203458, -95.55958126359698, 36.124284255378335]",<Asset href=https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/14/S/QE/2016/03/03/S2A_MSIL2A_20160303T170302_N0300_R069_T14SQE_20210528T095636.SAFE/GRANULE/L2A_T14SQE_A003641_20160303T170854/IMG_DATA/R10m/T14SQE_20160303T170302_TCI_10m.tif?st=2026-01-22T00%3A07%3A58Z&se=2026-01-23T00%3A52%3A58Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-01-22T20%3A34%3A24Z&ske=2026-01-29T20%3A34%3A24Z&sks=b&skv=2025-07-05&sig=3WWdQL0u0De4AbwyirNrW/lEEJEwc7IGdFJNCi3RP18%3D>,,<Asset href=https://planetarycomputer.microsoft.com/api/data/v1/item/preview.png?collection=sentinel-2-l2a&item=S2A_MSIL2A_20160303T170302_R069_T14SQE_20210528T095636&assets=visual&asset_bidx=visual%7C1%2C2%2C3&nodata=0&format=png>,2016-03-03,3,2016,63,407.81388888888887,1
S2A_MSIL2A_20160316T171252_R112_T14SPE_20210528T154405,2016-03-16 17:12:52.030000+00:00,46.807207,"[-97.90214616115195, 35.13300633202725, -96.66878536100633, 36.13974073092875]",<Asset href=https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/14/S/PE/2016/03/16/S2A_MSIL2A_20160316T171252_N0300_R112_T14SPE_20210528T154405.SAFE/GRANULE/L2A_T14SPE_A003827_20160316T172322/IMG_DATA/R10m/T14SPE_20160316T171252_TCI_10m.tif?st=2026-01-22T00%3A07%3A58Z&se=2026-01-23T00%3A52%3A58Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-01-22T20%3A34%3A24Z&ske=2026-01-29T20%3A34%3A24Z&sks=b&skv=2025-07-05&sig=3WWdQL0u0De4AbwyirNrW/lEEJEwc7IGdFJNCi3RP18%3D>,,<Asset href=https://planetarycomputer.microsoft.com/api/data/v1/item/preview.png?collection=sentinel-2-l2a&item=S2A_MSIL2A_20160316T171252_R112_T14SPE_20210528T154405&assets=visual&asset_bidx=visual%7C1%2C2%2C3&nodata=0&format=png>,2016-03-16,3,2016,76,312.1638888888889,0
S2A_MSIL2A_20160316T171252_R112_T14SQE_20210528T154407,2016-03-16 17:12:52.030000+00:00,21.077266,"[-96.80526871562567, 35.10721816203458, -95.55958126359698, 36.124284255378335]",<Asset href=https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/14/S/QE/2016/03/16/S2A_MSIL2A_20160316T171252_N0300_R112_T14SQE_20210528T154407.SAFE/GRANULE/L2A_T14SQE_A003827_20160316T172322/IMG_DATA/R10m/T14SQE_20160316T171252_TCI_10m.tif?st=2026-01-22T00%3A07%3A58Z&se=2026-01-23T00%3A52%3A58Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-01-22T20%3A34%3A24Z&ske=2026-01-29T20%3A34%3A24Z&sks=b&skv=2025-07-05&sig=3WWdQL0u0De4AbwyirNrW/lEEJEwc7IGdFJNCi3RP18%3D>,,<Asset href=https://planetarycomputer.microsoft.com/api/data/v1/item/preview.png?collection=sentinel-2-l2a&item=S2A_MSIL2A_20160316T171252_R112_T14SQE_20210528T154407&assets=visual&asset_bidx=visual%7C1%2C2%2C3&nodata=0&format=png>,2016-03-16,3,2016,76,0.0,1
S2A_MSIL2A_20160402T170302_R069_T14SQE_20210211T011209,2016-04-02 17:03:02.030000+00:00,0.106094,"[-96.80526871562567, 35.10721816203458, -95.55958126359698, 36.124284255378335]",<Asset href=https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/14/S/QE/2016/04/02/S2A_MSIL2A_20160402T170302_N0212_R069_T14SQE_20210211T011209.SAFE/GRANULE/L2A_T14SQE_A004070_20160402T170843/IMG_DATA/R10m/T14SQE_20160402T170302_TCI_10m.tif?st=2026-01-22T00%3A07%3A58Z&se=2026-01-23T00%3A52%3A58Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-01-22T20%3A34%3A24Z&ske=2026-01-29T20%3A34%3A24Z&sks=b&skv=2025-07-05&sig=3WWdQL0u0De4AbwyirNrW/lEEJEwc7IGdFJNCi3RP18%3D>,,<Asset href=https://planetarycomputer.microsoft.com/api/data/v1/item/preview.png?collection=sentinel-2-l2a&item=S2A_MSIL2A_20160402T170302_R069_T14SQE_20210211T011209&assets=visual&asset_bidx=visual%7C1%2C2%2C3&nodata=0&format=png>,2016-04-02,4,2016,93,407.8361111111111,1
